epoch,train_loss,train_acc,val_loss,val_acc
1,0.30996311252450504,89.426,0.1960790019196729,93.44
2,0.09845097755541207,96.8,0.19826662745892096,93.5
3,0.08387024356140169,97.264,0.15370355667873695,95.13
4,0.07192856654350069,97.64,0.19008500141035112,93.95
5,0.06167103337157954,97.932,0.1682864836831473,95.04
6,0.05761726912602178,98.048,0.21746668983258294,93.99
7,0.05376310858796413,98.278,0.2165083593358628,93.26
8,0.04696124677877171,98.45,0.19320430425378812,94.52
9,0.04443476067335176,98.506,0.19570641979105033,94.59
10,0.037520144957469144,98.836,0.21117660001525804,94.23
11,0.03512987555173358,98.826,0.1974234624204937,94.48
12,0.02955465818816888,98.984,0.20086091775491763,94.46
13,0.027106872691738764,99.066,0.23277960649707144,93.74
14,0.02154041345016578,99.28,0.2063881395971953,94.75
15,0.021124628181732767,99.322,0.17981599301410156,95.53
16,0.017232646807975042,99.39,0.18936299291973452,95.15
17,0.01311659209662378,99.59,0.23977372611031536,93.85
18,0.010870290034126427,99.634,0.18844052441637613,95.39
19,0.009872390317394189,99.658,0.21207369186230354,95.07
20,0.006057676404029034,99.816,0.21508558548758358,95.11
21,0.006590445534430523,99.782,0.19528533888672228,95.56
22,0.0021305023929016897,99.942,0.20775662507822706,95.45
23,0.0029150069537361035,99.894,0.20449520312915423,95.58
24,0.0012584304219328151,99.966,0.2102857622030279,95.53
25,0.000936586849508034,99.974,0.19952006951026674,96.06
26,0.0005889907510487157,99.984,0.20063216505530265,95.81
27,0.0003096363234292971,99.992,0.19105996434474434,96.05
28,0.0001279049476977543,100.0,0.19617277703561736,96.07
29,9.784459899810797e-05,100.0,0.20011572302381175,95.95
30,0.00011420908534045754,99.998,0.20034719621028993,95.97
