epoch,train_loss,train_acc,val_loss,val_acc
1,4.057450345714988,8.074,3.620449938351595,14.12
2,3.4117249119312256,17.486,3.2920188692551626,20.07
3,2.9757862810588556,25.242,2.863063450101056,27.63
4,2.587948385711826,32.798,2.598597239844407,32.62
5,2.2426632042126275,40.022,2.2419060951546776,39.89
6,1.9818263907566704,45.952,2.1045475654964205,43.29
7,1.769773016195468,50.758,1.863453161867359,48.97
8,1.5987838589017043,54.878,1.7136332611494427,51.83
9,1.4426109802997327,59.006,1.6995732210859467,52.82
10,1.3144954551211403,62.022,1.6158208545250228,55.8
11,1.189956239422264,65.094,1.5052115796487542,57.42
12,1.0678519228535235,68.406,1.5279599850690817,57.82
13,0.9493271678000155,71.712,1.4282862808130965,60.05
14,0.8326108191934083,74.922,1.3533870283561418,61.94
15,0.7174705871383248,78.384,1.4219757831549342,61.17
16,0.6051142839214686,81.612,1.409931554070002,61.65
17,0.48806084810620376,85.522,1.427009416531913,62.42
18,0.383563711896272,88.786,1.378789029543913,63.36
19,0.2755538872288316,92.252,1.3920054903513268,64.25
20,0.19282204722580704,95.274,1.374027919920185,64.8
21,0.13118911683178314,97.208,1.3828333397454853,65.99
22,0.0843836692116602,98.634,1.3702244109745267,66.48
23,0.055400282435138205,99.334,1.3678852485705026,66.73
24,0.03564098821786206,99.768,1.3733873435213595,66.99
25,0.026400676285347823,99.874,1.379042546960372,66.97
26,0.02069702145436307,99.888,1.3726715505877627,67.1
27,0.016890206679111095,99.936,1.3759144559691223,67.59
28,0.014465157075992326,99.96,1.379843472679959,67.65
29,0.012780001949128287,99.982,1.3782213398172884,67.68
30,0.01233327230248038,99.982,1.3796768150752103,67.76
